"data","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Greece","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","United Kingdom","Iceland","Norway","Montenegro","North Macedonia","Serbia","Turkey","Bosnia and Herzegovina"
"2010","26","4","20","25","22","10","21","9","12","12","22","4","7","6","22","14","8","16","22","14","8","19","6","10","7","16","24","14","16","34",":","4",":","8",":"
"2011","22","3","26","23","20","11","23","6","11","11","18","4","7","9","21","15","10","16","19","11","8","16","4","11","13","17","24","15",":","31",":","3",":",":",":"
"2012","23","4","25","26","22","11","23","7","13","11","23","4","8","7","15","14","10","14","18","11","9","14","5","14","12","17","27","18","35","34",":","5",":",":",":"
"2013","21","5","26","27","22","10","23","8","13","11",":","5","7","7","20","16","10","11","13","13","9","14","9","11","18","16","24","19","24","25",":","4",":",":",":"
"2014","23","6","27","26","23","12","27","9","17","12",":","5","10","7","18","7","10","16","13","13","10","14","7","14","12","15","25","20","23","25",":","5","21",":",":"
"2015","25","6","24","26","25","13","32","6","17","16","20","7","11","9","18","7","11","16","17","15","10","19","8","16","13","16","26","20",":","26",":","2",":","12",":"
"2016","24","5","27","28","26","16","30","10","19","17","19","8","13","8","19","9","12","18","16","15","11","19","7","14","12","18","27","19",":","27",":","3",":","12",":"
"2017","24","7","24","29","24","16","30","11","20","17","18","8","12","11","22","8","13","16","16","17","10","18","8","18","15","21","29","20",":","29","14",":","24","11",":"
"2018","29","6","24","32","20","16","31","11","19","16","18","10","12","11","22","12","13","21","17","14","13","19","9","18","13","21","30","20",":","28","10",":","26","9","22"
"2019","30","7","29","34","18","18","36","9","19","16","22","10","13","11","24","9","13","23","21","20","14","16","12","18","12","23","31","25",":","27","12",":","29","11","21"
"2020","26","8","30","38","18","17","33",":","25","14","31","12","15","12","28","10","14","25","19","22","14","20","18","18","17","19","31","27","15","22",":","4","26","10","19"
"2021","31","10","25","38","20","19","34","20","26","12","30","13","17","15","32","9","18","27","23","23","15","16","12","20","14","24","34",":",":","26",":",":","27","12","20"