"data","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Greece","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Switzerland","United Kingdom","Montenegro","North Macedonia","Serbia","Turkey"
"2014-01","1638700","298853","648635","1828160","11325456","120548","1503799","943218","9007027","9064682","153122","7120013","246258","308448","220606","137003","549132","199354","3938947","1807004","1512769","1752776","682187","75317","67546","1252591","2171020","182345","2495009","3238296","13470310",":",":",":",":"
"2014-02","1608226","274571","606615","1849478","11091453","113710","1492142","887154","8844369","8617924","141801","6679993","229216","275750","201503","137109","523710","193334","3772322","1779141","1454630","1674701","624684","75132","60235","1226866","2142331","177948","2539066","3172123","13249170",":",":",":",":"
"2014-03","2004797","314591","810876","2211547","13601984","149286","1797047","1079638","11106476","10378139","186427","8342385","306090","331701","240029","176868","659573","263404","4492598","2108523","1679867","2108793","726588","86324","74434","1426007","2515145","228468","2957999","3760274","15519953",":",":",":",":"
"2014-04","2505099","350849","948014","2477638","15024355","159035","2217914","1955110","13704291","11763853","375079","10153809","534378","397080","314497","212059","750537","376940","5077273","2189347","1916665","2811629","869071","99129","97310","1420894","2707337","260049","3067109","3906753","18075203",":",":",":",":"
"2014-05","2619815","511137","1037450","2633488","16813839","186132","2411882","3771893","15007861","12405522","602715","10903623","745245","425332","374149","226912","803513","402098","5621495","2330573","2274462","3021240","920899","107401","105317","1465517","2978260","303140","3256373","3869086","19861998",":",":",":",":"
"2014-06","2683507","1080830","1265173","2879167","17740470","200877","2628941","5377590","16622395","12867582","794425","11893121","873571","486863","390726","238155","857524","424329","5645814","2483100","2611773","3151622","1044960","127746","184032","1609155","3237905","453383","3781196","4096298","21296412",":",":",":",":"
"2014-07","3065902","1396172","1392495","3066779","18487775","212112","2871256","6628494","18749280","13913622","1093161","13192302","1008904","513811","398776","241377","934635","511411","6073347","2571197","2896960","3642049","1151537","147871","302119","1563729","3105789","544982","3832517","4497861","22976005",":",":",":",":"
"2014-08","3103037","1452946","1429282","2813026","19425021","208671","2861199","7000561","19714262","14548741","1105922","13842982","1063336","507467","398920","265677","931501","551450","6263574","2645521","2917421","3853854","1165977","162798","287902","1537721","3070232","535310","3510699","4603622","23782567",":",":",":",":"
"2014-09","2872608","852992","1317820","2678508","18911048","195525","2461078","5542649","17167348","11434540","815629","12263280","881034","448863","364973","238743","865929","463215","5805826","2519181","2685396","3392435","1094131","143071","199914","1495137","3033431","368447","3448621","4185618","21599908",":",":",":",":"
"2014-10","2618148","383929","1041200","2651301","18004125","189193","2365394","3309727","15099949","11970793","489393","10685505","772630","418540","358264","218157","829087","421724","5611791","2267695","2218452","3030231","966097","117440","114021","1546467","3013014","311089","3393742","4205245","19720748",":",":",":",":"
"2014-11","2107419","290550","799675","2036340","13594679","147570","1860815","1319184","10351465","9364723","198128","8030292","370760","345500","274198","173497","679108","256261","4323723","1806834","1811495","2048082","818137","84507","88618","1261839","2481019","245876","2809410","3148870","14979167",":",":",":",":"
"2014-12","1949000","313277","782638","1889701","12425609","137147","1839359","1302615","9979659","10030550","184995","8057282","297124","342927","261469","168409","670599","226512","4336293","1870560","1734532","2073209","843219","80392","89842","1366008","2310560","242577","2511454","3443380","15490681",":",":",":",":"
"2015-01","1817576","311991","649303","1854130","11708343","127698","1696795","1193377","9496882","9330402","166761","7597063","266901","319462","256974","141553","618079","209516","4069046","1751044","1718995","2000508","800361","73096","82613","1246361","2201578","230263","2424874","3337185","14341428",":","88275",":",":"
"2015-02","1856334","286718","638120","1872931","11562591","121827","1715433","1091972","9372113","8973519","155406","7269876","245305","294333","240974","149261","593555","208896","3977418","1718104","1701417","1928087","748383","72252","80303","1246082","2205212","229769","2556072","3280428","14183231",":","80079",":",":"
"2015-03","2209413","324201","821510","2282557","14357887","162494","2113431","1347345","11835533","10519596","216813","8920973","341318","369701","284033","177748","734142","275334","4654178","2100017","1957806","2420023","879055","90902","100387","1440440","2598818","281710","2932322","3889314","16894634",":","95457",":",":"
"2015-04","2660132","362523","956678","2402197","15683137","174411","2391401","2227095","14086347","11754598","380684","10615838","566410","407212","338835","233869","832834","393315","5320956","2182653","2213720","3025639","1025725","112310","115763","1410426","2767361","297198","2983248","4048758","18529782",":","109741",":",":"
"2015-05","2859581","501317","1092539","2631635","17893241","200502","2667991","4112577","15967412","12887801","658218","11528761","761100","464323","398327","248165","889794","441921","6067655","2363428","2565308","3292913","1066544","128070","124913","1474746","3060472","399348","3274360","4141957","20791446",":","117097",":",":"
"2015-06","2855538","975825","1328075","2895624","18316734","217155","2991649","5617275","17215856","12990793","839919","12365912","848491","514698","409294","244206","962939","459298","5962631","2520214","2967020","3519610","1186761","149291","212577","1599596","3289800","567877","3702865","4161984","22259414",":","118070",":",":"
"2015-07","3281630","1390599","1494935","3195140","19625743","230818","3237804","7014031","19737822","14637298","1152439","13848766","1042322","552644","419566","269176","1075252","548107","6571920","2739213","3254547","3991036","1311140","171445","321313","1607679","3282679","661154","3860820","4790693","24427872",":","164341",":",":"
"2015-08","3260405","1452396","1506583","2927393","20255751","233652","3150799","7427749","20551587","15051150","1172321","14320024","1092384","546332","434365","290356","1078720","585218","6592365","2775665","3186422","4181933","1329863","179590","315727","1579508","3211651","659624","3538347","4805848","24946702",":","173158",":",":"
"2015-09","3043615","921961","1358210","2845032","19263574","207006","2737235","5810847","17960010","12976938","883847","12903907","938495","469108","415294","263799","1011625","502896","6119316","2622134","2927441","3713303","1239299","157020","215955","1530338","3232347","487014","3460537","4362164","22742506",":","145965",":",":"
"2015-10","2823646","427016","1089549","2822697","18926255","206634","2686258","3382557","16311112","12573842","547767","11486015","762881","446661","415821","243720","934344","464557","5930716","2279362","2427350","3361709","1090903","127953","137974","1590824","3118744","411357","3380538","4375051","21014595",":","132612",":",":"
"2015-11","2238354","315488","871581","2261523","13470542","145370","2116104","1452899","11297437","9279859","208369","8468135","405956","380326","313121","198946","752491","283648","4700429","1843174","2004618","2301991","954481","93800","115177","1315051","2626889","314002","2861991","3310528","15882794",":","109928",":",":"
"2015-12","2052617","340914","864921","2104646","12872632","133411","2040120","1418678","10820392","9891773","189154","8339951","319224","381056","300785","190952","744577","246851","4604308","1858999","1982795","2269062","948196","80274","120954","1438195","2415712","307972","2527078","3522465","16256033",":","117650",":",":"
"2016-01","1966259","352207","711611","2064353","12226690","126673","1946331","1295643","10576079","9500484","173905","7987426","290900","352601","299590","165143","710746","236555","4489479","1770425","1955264","2180275","923427","73494","119327","1310388","2327305","289226","2463567","3491008","15285237","58574","109097","267792",":"
"2016-02","2089083","334689","722370","2159939","12384170","127811","1981597","1260146","10841422","9421939","174996","8028299","283688","334730","283891","181066","697059","236648","4512292","1780026","1949700","2217209","913013","77976","116256","1350495","2426724","324020","2687167","3543955","15602504","53421","102178","247208",":"
"2016-03","1936776","366203","907730","2538415","15109267","157596","2460497","1564712","13524242","10771060","243427","9523753","416466","414207","330386","228582","861675","327525","5252915","2151897","2204946","2722606","1042398","93923","127283","1489029","2824061","400744","2985088","4085372","18328072","64918","120668","286497",":"
"2016-04","2005251","411154","975675","2569129","15798088","179293","2584486","2258706","15092080","12360620","389458","10731996","602240","421484","379443","260311","945560","415413","5840393","2099280","2439266","3251850","1140023","100549","144646","1419066","2857043","380478","2943188","4107853","19451507","88263","135013","331287",":"
"2016-05","2703577","622014","1103672","2904048","18101677","200537","2931551","4371155","17691974","13087761","715450","12064223","901195","475231","449543","272850","1034856","476921","6411912","2373298","2797551","3724110","1272960","116499","157114","1526576","3248608","535300","3330222","4347627","21879677","122708","148562","376881",":"
"2016-06","2736786","1171437","1348177","3140864","18486171","224055","3254976","5758329","19024463","13149053","963074","12822777","1011528","519845","468278","262180","1075345","490381","6207078","2450672","3171901","3904732","1363854","135757","202929","1644550","3379659","759896","3672794","4305416","23671944","237843","142332","410523",":"
"2016-07","3213462","1699632","1584206","3480953","20428888","227231","3511306","7576260","22032687","15149478","1383725","14709974","1218730","555092","472843","294609","1183436","580475","7078863","2776608","3502298","4480139","1539062","163219","320954","1642879","3482287","897526","3779389","5079927","26212471","340743","173715","518687",":"
"2016-08","3133437","1684644","1573745","3131773","20280099","227497","3435748","7785589","22166098","14964678","1322025","14821550","1260117","557813","481508","295591","1176956","598366","7119431","2723254","3482820","4690153","1596717","165069","319938","1597493","3355740","892242","3535817","4978179","26611629","349016","174883","517898",":"
"2016-09","2990813","1172583","1478105","3053033","20239799","214518","3005348","6417788","19829990","13187194","1012613","13485628","1096334","493663","459864","284488","1121010","531962","6576720","2665489","3284762","4257952","1528916","151446","231816","1584146","3361783","699524","3441932","4568881","24248072","268580","152519","454810",":"
"2016-10","2767036","562726","1225588","3042096","19660824","210284","2900820","4022715","18353580","12801655","656370","11963985","1007761","476052","445710","277679","1065768","512794","6449416","2398405","2761280","3958885","1385783","131941","162512","1583955","3227602","613475","3431930","4678885","22330674","122229","142901","389653",":"
"2016-11","2318544","452109","994899","2398470","13971638","159672","2301847","1604824","12408391","9950959","230064","9049063","485768","383505","356896","229082","884785","347081","5165683","1946072","2359552","2763566","1197198","98970","125568","1368336","2799992","495362","2848087","3453343","17020895","69395","120928","303675",":"
"2016-12","2254808","494819","1046584","2280069","13999982","159822","2281202","1627504","12331031","10935721","210356","9289107","387090","399937","359609","232661","903170","326325","5213813","2046085","2357521","2778567","1250368","95309","129918","1583041","2661754","514021","2608365","3865046","18226191","69774","126578","309947",":"
"2017-01","2064270","493259","868566","2208716","13146511","154185","2111631","1437783","11721882","10253846","192291","8758824","364542","368759","356201","203264","831890","296876","5026444","1887141","2309994","2631630","1182716","89396","121538","1444450","2548194","493026","2559648","3716220","16837713","64574","122521","298575",":"
"2017-02","2083035","480657","849582","2208467","12849806","149119","2047024","1339482","11510948","9890411","177653","8302416","347714","343039","325292","207438","799446","296250","4790354","1867912","2222509","2620955","1117225","89864","111195","1414963","2516505","486050","2631931","3703479","16661420","60667","105265","258239",":"
"2017-03","2462550","544316","1072321","2548433","15601985","184307","2488422","1662534","14162252","11308326","239268","10061923","466747","418807","382151","241937","960414","384308","5720426","2198600","2560537","3176774","1293256","108964","133759","1583773","2960279","580644","3089413","4314174","19315393","75908","125167","313442",":"
"2017-04","2891115","615682","1263891","2736104","17906786","202889","2873909","2816560","17738888","13452179","527746","12062418","780519","486257","450281","316249","1109989","530576","6528026","2425716","2817652","4160684","1465165","132239","149353","1574730","3124891","616717","3058976","4652715","22138439","114584","148530","378162",":"
"2017-05","2983022","767812","1341865","2954722","19100564","232518","3035462","4752752","19041330","13616813","841810","12846063","1011924","526446","509867","318151","1157938","547696","6993121","2497696","3221586","4369288","1537760","146257","159894","1694938","3553039","248659","3362704","4495142","23581805","154985","150203","397754",":"
"2017-06","2986272","1384824","1616177","3192279","19908381","258805","3409826","6664081","20926797","13863102","1171531","13950073","1159991","592244","527185","335699","1220774","578615","6907804","2614609","3687329","4637108","1634786","155990","231068","1825647","3681663","927292","3770376","4719822","25255767","300177","150935","461140",":"
"2017-07","3468159","1902159","1868592","3531785","21788797","270526","3679830","8228022","23635177","16130763","1647474","15881795","1361752","643759","408258","356763","1359032","674358","7536772","2871073","4120443","5167344","1830763","198138","380555","1830037","3790568","1097598","3940583","5354150","27616260","393290","200927","564378",":"
"2017-08","3408657","1882109","1863455","3191707","21571733","272676","3615767","8336358","23573035","15980800","1577489","15863435","1403953","642332","415275","354773","1362833","693249","7611207","2807833","4090307","5257066","1888352","196416","375234","1791313","3637417","1079073","3675007","5247904","28151384","395325","216409","569220",":"
"2017-09","3202473","1304988","1732354","3092281","21252374","264776","3174995","7006850","21439063","14103738","1220104","14585368","1242078","568623","519202","345807","1273144","626127","7047173","2734285","3848917","4880541","1756433","180380","269858","1767359","3557400","864810","3535065","4874610","25668788","300456","185474","501381",":"
"2017-10","2982388","670632","1419400","3030083","20230108","255403","2993256","4484004","19379552","13524224","746623","12786658","1129451","552216","529370","327836","1215615","596426","6978713","2424628","3309933","4473343","1620942","153588","176187","1784812","3423537","725636","3507313","4875555","23215001","140430","171688","429415",":"
"2017-11","2422231","507080","1163466","2357263","14971010","201932","2442353","1751236","13457715","10657504","264337","9554246","547681","460573","414549","269178","1037359","405724","5660201","1947157","2754558","3151693","1309112","121520","146118","1563301","2929925","593395","2943422","3596127","17651755","86085","140451","323574",":"
"2017-12","2306321","539133","1185885","2209374","14061288","188009","2399296","1691066","13237450","11314779","236727","9653106","422561","474799","408470","277635","1021595","377526","5440063","2050629","2740903","3146631","1298264","109381","147892","1779624","2732795","605834","2665340","4015045","18535729","87013","143712","332891",":"
"2018-01","2190383","544718","973631","2183832","13356786","174049","2230031","1518890","12604441","10885368","219879","9328078","387747","441700","406445","237521","974653","351550","5413261","1905331","2713854","2954239","1302080","100366","142392","1625310","2645161","593471","2630822","3831561","17134006","79555","144539","336947",":"
"2018-02","2194321","509648","972451","2218270","13253657","170810","2108843","1421370","12425769","10183848","199626","8808693","386143","403849","377197","240671","929002","349482","5239287","1937152","2607414","2903202","1209425","99125","132061","1599966","2603039","569123","2733297","3840283","16928973","70778","129792","306911",":"
"2018-03","2590913","609762","1227260","2691520","16735521","209683","2561755","1891780","15651657","12250339","302114","10747800","559023","504089","451581","297386","1134794","471234","6154618","2404430","2986682","3626533","1412996","129806","158736","1818956","3142067","702455","3130773","4561918","19970313","88774","155866","363370",":"
"2018-04","3062128","704504","1369253","2841987","17975261","237676","3010851","3015244","18081120","13606815","549937","12802169","847806","568391","515724","353190","1260726","591311","6733655","2442085","3338476","4405749","1607565","157514","185312","1783442","3235259","678665","3239034","4864104","22118281","132033","175891","440945",":"
"2018-05","3092460","918353","1458690","3156768","19904627","273840","3324775","5565067","20102304","14195103","970602","13655593","1084157","633929","587296","372944","1318614","643107","7265322","2585884","3801689","4766547","1661018","167716","189501","1898459","3540823","867281","3500881","4788200","24278054","188775","175333","474922",":"
"2018-06","3110741","1569255","1821391","3387213","20574997","298147","3648427","7300584","21901051","14826254","1318805","14858337","1253226","684229","610410","363841","1384220","662901","7237971","2822571","4385659","4935177","1794339","175795","285750","2033407","3731574","1122121","3820443","4907137","26347056","327571","192302","524490",":"
"2018-07","3555992","2050117","2094469","3686607","22589018","310856","3889785","8755833","24212494","16759218","1765904","16502851","1413909","737562","614984","392348","1549134","756015","7695856","3085491","4845896","5382070","2041856","199129","437365","2045461","3837942","1224554","4104197","5535996","28284256","418715","237447","643406",":"
"2018-08","3496343","1998177","2082987","3371061","22462326","304734","3799828","8835744","24145090","16673238","1694784","16639053","1471489","733741","618731","391126","1565735","759478","7789704","3143286","4835478","5466601","2095707","202259","428605","1958823","3671690","1227716","3817279","5519264","28740892","440765","237195","655690",":"
"2018-09","3259277","1400679","1879973","3239388","22201917","283175","3391539","7442136","22288388","14945124","1340983","15406592","1313899","658881","584801","379181","1424621","706581","7297962","3028317","4487209","5121575","1959172","191453","302818","1899198","3523997","1014135","3646874","5094674","26089333","346327","208077","547698",":"
"2018-10","2992470","735296","1513421","3147214","21741647","283994","3228463","4670003","20534431","14439815","834308","13693853","1165086","643939","580990","367383","1369330","646195","7265970","2842107","3737855","4791162","1783417","161433","197906","1915859","3399993","881910","3596184","5123223","24342698","158599","188104","482161",":"
"2018-11","2540218","529720","1200038","2478048","16110325","226791","2595786","1965347","14384398","11348905","282862","10434690","580128","510732","459316","298653","1128948","453546","5805354","2396286","3040599","3361153","1471353","117375","166346","1648033","2898917","655549","3055466","3828687","18599307","96128","147752","373682",":"
"2018-12","2421063","567485","1244657","2299231","15516279","221773","2554922","1876828","14280286","11877152","251490","10474735","464488","516028","446703","294560","1136716","414417","5745203","2545477","2986737","3304590","1470714","108596","167302","1946616","2714634","629406","2754855","4244502","19356986","92466","160448","371028",":"
"2019-01","2253327","570956","1015592","2233010","14177333","204783","2347603","1652468","13501719","11234746","226655","9800069","421821","466661","443403","258957","1032569","366016","5497370","2285034","2871991","3144946","1441209","103134","151315","1692000","2571315","558501","2717582","3990345","17837507","83825","152125","372364",":"
"2019-02","2187148","536254","1011909","2260089","13965763","194398","2286662","1567624","13223229","10790524","222707","9461722","410208","430490","411765","267687","998417","359555","5354526","2349892","2827435","3073012","1350979","105167","147456","1661389","2514946","534003","2790875","3958347","17664207","75255","137664","339199",":"
"2019-03","2643934","618037","1269379","2652203","17192573","230699","2779886","1957347","16219646","12897338","306168","11510279","564040","531114","466939","320896","1205927","477533","6273861","2871838","3209758","3887833","1517764","133403","169883","1888249","2941902","614289","3230709","4710650","20645202","97252","164318","398806",":"
"2019-04","3107492","678527","1434249","2884516","19190820","265748","3224936","3134121","19292641","14839443","702852","13486285","864105","645712","540420","384281","1382213","653179","6928894","2978376","3600254","4859871","1711251","157992","188971","1912984","3068756","499921","3161663","4948984","23015529","145992","194181","496653",":"
"2019-05","3102755","877009","1540267","3075631","20253183","300446","3462571","5176922","20623195","14652125","1048276","14328615","1128899","714785","620978","393188","1460105","675499","7401358","3038394","4170994","5116936","1869355","169818","205454","2035323","3409232","610877","3449398","4853106","25030989","213117","194449","537239",":"
"2019-06","3257996","1455157","1925827","3401375","21595042","316964","3763063","7632190","22940081","15951063","1465003","15744510","1293838","762727","604824","407702","1525779","723180","7474186","3314289","4645693","5392085","1992254","188649","296870","2142627","3684566","817429","3922975","5160769","26876251","354638","214085","631590",":"
"2019-07","3650171","1866085","2171017","3640974","22839831","318394","4030976","8993720","24715129","17323730","1868350","17135700","1434271","832797","595440","424944","1663035","800221","7731539","3504875","4989532","5799800","2195022","206772","426021","2174155","3714250","877905","4110585","5621555","28574934","442740","241567","734858",":"
"2019-08","3570657","1885574","2196935","3416166","22756833","325152","4008037","9284850","24884676","17325626","1837031","17376843","1483105","830846","621917","420265","1675544","824393","7860616","3511121","5046680","5910963","2280374","211595","418986","2107270","3583942","876400","3801329","5585170","29146198","468752","263652","756919",":"
"2019-09","3325409","1290977","1993067","3273384","22175455","310000","3527592","7690464","22783216","15270459","1404508","15894736","1323131","735252","603338","415421","1566297","763013","7488027","3306004","4734704","5474990","2094041","171981","311523","2028042","3468876","675930","3724069","5108332","26045351","371511","231959","646748",":"
"2019-10","3120567","717317","1643154","3168106","21573621","315559","3311286","4947216","20629484","14654497","953021","14203791","1194798","704406","622758","403270","1522375","704147","7355548","3095301","4071926","5047546","1883410","99229","196702","2017173","3293082","583392","3631249","5101639","24245929","189806","212746","606055",":"
"2019-11","2611508","584000","1282563","2443406","15703175","241243","2588600","2056288","14780490","11688139","314507","10786447","626571","549704","496501","331381","1309357","493727","5886956","2591272","3396008","3666403","1604098","85786","156643","1670147","2716695","461608","2991109","3829064","18456722","106375","170261","465878",":"
"2019-12","2554224","633175","1348737","2331267","15340457","234617","2616298","1995317","14668866","12099098","274161","10938942","516623","581232","476402","337577","1359132","477894","5939626","2797792","3377796","3633509","1626108","85513","169963","1958570","2647201","473942","2816894","4326367","19893561","103538","176320","464334",":"
"2020-01","2340520","620438","1088657","2247096","14069946","213359","2382437","1907871","13656107","11627143","231176","10222774","459432","524165","455142","289047","1204138","418579","5595988","2559973","3240382","3415852","1536188","75472","149333","1735159","2472049","395374","2749910","4076384","17974388","97942","163967","442925",":"
"2020-02","2345828","596013","1037299","2274056","13659950","211228","2338066","1772156","13609445","11125495","224737","9089375","446049","489024","446654","295991","1144820","422129","5282224","2536893","3107557","3439325","1400736","79776","143015","1632971","2418239","414840","2825852","3968157","17446467","89321","147533","395690",":"
"2020-03","1058082","293130","444914","978517","6503935","103004","1181175","853676","6596673","5397724","119489","1698954","230760","234483","202850","128453","508702","169584","2774524","1006487","1207121","1831056","631441","36094","45776","808838","1183305","231379","1399155","1790567","9347404","40957","71617","179778",":"
"2020-04","17596","29572","4672","30861","265803","2838","24820","27068","84558","141251","4478","83148","6462","2910","1639","26","9483","2355","134002","12868","16126","31985","44933","190","1375","22377","53595","5358","197573","30664","319121","1873","1853","5894",":"
"2020-05","22975","77248","7663","49903","397715","10370","44541","99321","173061","229023","15118","142217","9690","9981","4179","1808","22521","3220","220531","21197","10411","77081","44906","111","838","37610","70837","11127","310026","56059","365494","1142","849","10160",":"
"2020-06","109685","156857","37395","171539","1323571","24788","93619","388740","663375","896617","67378","718609","40640","54150","42185","35436","86117","3447","527223","141631","85678","284709","116011","4991","2655","84574","157902","44680","577959","276354","648222","6195","36","78531",":"
"2020-07","795201","438020","272997","654988","4556602","75126","428900","2419186","5287294","4043385","335301","3712930","197426","184084","167375","131582","312801","153604","1691713","612959","1219810","1157154","571531","20992","21895","227043","432324","150219","1125404","1276911","3293014","39443","57160","125379",":"
"2020-08","935379","543762","377416","726796","5618984","83837","589417","4170338","6449237","5746232","547900","5492806","295724","188571","212396","179687","403791","252693","2244081","854823","1858067","1941565","690804","28024","64498","281987","591423","149220","1095559","1620194","6357346","79242","67007","176727",":"
"2020-09","580349","404993","259224","563206","4300025","43096","429072","2957622","3644489","3820073","190047","4101744","244498","112546","100239","129462","89725","128989","1548443","604214","1405173","1635649","628514","21686","36331","167037","566964","43338","890212","1042186","5223175","85283","54805","207386",":"
"2020-10","472460","267838","120624","463323","3663114","34594","285891","2082385","3026977","3456138","93178","2954791","215395","89462","77236","101790","62301","110749","1303816","403375","833557","1239595","427821","10775","15424","152801","651280","27452","889300","836542","3514792","36489","53771","208320",":"
"2020-11","324998","134256","67046","217608","1547855","25626","176829","366805","1972250","1345175","45600","950232","63557","49517","43162","54390","49128","40207","965518","182929","358535","613604","222198","4254","5473","126782","346453","18137","513030","386845",":","21821","43784","3815",":"
"2020-12","462755","166890","103465","280761","1888478","29971","293530","296024","2633839","2895755","44698","1237775","60944","56240","51443","78638","69160","46889","1306720","231082","483087","881418","318364","5422","13991","151443","373306","36509","642903","645948",":","22251","46859","103861",":"
"2021-01","365177","191389","89406","193763","1648149","27323","205824","289278","1952713","2813741","40604","1094860","35905","48049","52602","60694","66950","39302","910000","200480","364813","667965","323288","4923","11070","134905","309924","35321","478642","459877",":","21917","54141","101988",":"
"2021-02","190071","109378","78802","116984","1196831","24757","97721","244293","1479142","1708432","32802","946527","31880","23192","38116","35926","53525","27848","520093","159877","260676","208528","223655","5534","4857","117539","226704","27488","391196","291766",":","21782","45169","88860",":"
"2021-03","208017","131996","88415","165607","1791215","32758","113094","301175","2149283","1788148","46712","1088496","45435","31995","56711","43956","61741","32379","677101","216215","357720","335075","272978","7907","5230","121708","286812","35772","492682","343182",":","21943","49110","98021",":"
"2021-04","302709","162755","103236","203784","2087961","44348","123802","404784","2554008","1915233","65411","1385150","93676","54098","73709","83057","63078","39795","818609","272564","426701","590810","421734","8733","4458","115940","317398","33084","450108","586848",":","29285","48896","134434",":"
"2021-05","511864","226731","141661","288462","3010568","54531","157411","1020330","4163677","2826504","109229","2083097","210000","84052","87127","113708","85499","76145","1171015","404322","700938","1075486","559670","14676","7385","128365","390846","66882","584577","806022",":","52007","72178","197415",":"
"2021-06","929772","409559","329340","589523","5164510","97112","311225","2765252","6738141","4634549","298829","4572384","420807","155968","168715","148722","266382","191394","1871724","753717","1542705","1692022","922571","27756","42908","210577","705078","163159","869605","1151520",":","139293","104395","323724",":"
